date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:22:07	4535/4535	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Mar%202023%2009:51:51%20GMT	https://www.cosmofilms.com/apanel/index.php	C:/My%20Web%20Sites/Cosmo/www.cosmofilms.com/apanel/index.html	(from )
15:22:07	509/509	---M-Z	200	added ('OK')	text/plain	etag:%22594-5f3b4b0665ab1-gzip%22	https://www.cosmofilms.com/robots.txt		(from )
15:22:07	1232/1232	---M-Z	200	added ('OK')	text/javascript	etag:%224d0-518c3e25d2dc0-gzip%22	https://www.cosmofilms.com/apanel/backend-js/csshorizontalmenu.js	C:/My%20Web%20Sites/Cosmo/www.cosmofilms.com/apanel/backend-js/csshorizontalmenu.js	(from https://www.cosmofilms.com/apanel/index.php)
15:22:08	6831/6831	---M-Z	200	added ('OK')	text/javascript	etag:%221aaf-518c3e24deb80-gzip%22	https://www.cosmofilms.com/apanel/backend-js/common.js	C:/My%20Web%20Sites/Cosmo/www.cosmofilms.com/apanel/backend-js/common.js	(from https://www.cosmofilms.com/apanel/index.php)
15:22:08	32989/32989	---M-Z	200	added ('OK')	text/javascript	etag:%2280dd-518c3e27bb240-gzip%22	https://www.cosmofilms.com/apanel/backend-js/epoch_classes.js	C:/My%20Web%20Sites/Cosmo/www.cosmofilms.com/apanel/backend-js/epoch_classes.js	(from https://www.cosmofilms.com/apanel/index.php)
15:22:08	273200/273200	---MCZ	200	added ('OK')	text/javascript	etag:%2242b30-518c3e2d73fc0-gzip%22	https://www.cosmofilms.com/apanel/backend-js/jquery.min.js	C:/My%20Web%20Sites/Cosmo/www.cosmofilms.com/apanel/backend-js/jquery.min.js	(from https://www.cosmofilms.com/apanel/index.php)
15:22:08	124170/124170	---M-Z	200	added ('OK')	text/javascript	etag:%221e50a-55764d62a5d40-gzip%22	https://www.cosmofilms.com/apanel/backend-js/prototype.js	C:/My%20Web%20Sites/Cosmo/www.cosmofilms.com/apanel/backend-js/prototype.js	(from https://www.cosmofilms.com/apanel/index.php)
15:22:09	288809/288809	---MCZ	200	added ('OK')	application/x-javascript	etag:%2246829-516fba0fb9d40-gzip%22	https://www.cosmofilms.com/filemanager_in_ckeditor/js/ckeditor/ckeditor.js	C:/My%20Web%20Sites/Cosmo/www.cosmofilms.com/filemanager_in_ckeditor/js/ckeditor/ckeditor.js	(from https://www.cosmofilms.com/apanel/index.php)
15:22:09	1801/1801	---M-Z	200	added ('OK')	text/javascript	etag:%22709-516fb9ff83700-gzip%22	https://www.cosmofilms.com/filemanager_in_ckeditor/sample.js	C:/My%20Web%20Sites/Cosmo/www.cosmofilms.com/filemanager_in_ckeditor/sample.js	(from https://www.cosmofilms.com/apanel/index.php)
15:22:09	1081/1081	---M-Z	200	added ('OK')	text/css	etag:%22439-516fb9fe8f4c0-gzip%22	https://www.cosmofilms.com/filemanager_in_ckeditor/sample.css	C:/My%20Web%20Sites/Cosmo/www.cosmofilms.com/filemanager_in_ckeditor/sample.css	(from https://www.cosmofilms.com/apanel/index.php)
